,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022
Part-Time Workers RW,4369000,4393000,3629000,2984000,2970000,3193000,3149000,3228000,2968000,3109000,2906000,2478000,2117000,1716000,1507000,1584000,1741000,1456000,1379000,1317000,1747000,1484000,1101000,809000,842000,817000,798000,670000,586000
Management Occupations RW,8914000,8362000,7493000,6870000,6567000,6111000,6397000,6836000,6778000,6494000,6228000,5785000,5115000,4778000,4264000,4505000,4413000,3637000,3720000,3552000,4957000,4190000,3330000,2599000,2631000,2303000,2350000,2289000,1682000
Business and Financial Operations Occupations RW,5646000,4974000,4872000,4779000,4513000,4218000,4457000,4756000,4738000,4760000,4571000,4066000,4037000,3544000,3414000,3332000,3302000,2992000,2843000,2767000,3376000,3197000,2611000,1976000,1781000,1671000,1536000,1538000,1328000
Computer and Mathematical Occupations RW,4372000,4353000,4067000,3780000,3378000,3403000,3421000,3864000,3850000,3776000,3453000,3217000,3085000,2817000,2827000,2500000,2425000,2355000,2329000,2479000,2900000,2748000,2275000,1922000,1675000,1648000,1611000,1454000,1169000
Architecture and Engineering Occupations RW,1864000,1637000,1585000,1663000,1516000,1428000,1451000,1513000,1393000,1362000,1259000,1060000,1061000,1017000,884000,1056000,857000,953000,996000,1020000,1166000,945000,783000,497000,562000,588000,553000,454000,435000
"Life, Physical, and Social Science Occupations RW",1098000,1165000,1019000,961000,834000,718000,670000,724000,698000,745000,667000,672000,625000,532000,544000,511000,534000,447000,430000,487000,621000,588000,428000,382000,347000,328000,323000,327000,232000
Community and Social Services Occupations RW,1894000,1744000,1528000,1443000,1251000,1191000,1247000,1309000,1204000,1177000,958000,905000,818000,692000,658000,628000,646000,574000,580000,539000,792000,584000,498000,343000,350000,393000,416000,330000,234000
Legal Occupations RW,1393000,1277000,1140000,1155000,1024000,1026000,1013000,1079000,996000,1041000,885000,786000,722000,696000,654000,715000,650000,600000,527000,535000,732000,682000,513000,344000,401000,405000,415000,349000,287000
"Education, Training, and Library Occupations RW",6826000,5903000,3285000,3527000,3777000,3649000,3805000,4189000,4032000,3777000,3147000,2660000,2057000,1613000,1055000,881000,1040000,893000,763000,877000,1699000,1214000,795000,433000,482000,387000,363000,375000,312000
"Arts, Design, Entertainment, Sports, and Media Occupations RW",1563000,1506000,1393000,1231000,1182000,1145000,1120000,1253000,1269000,1195000,1187000,1155000,940000,874000,752000,769000,676000,725000,742000,696000,932000,754000,546000,452000,475000,479000,474000,398000,364000
Healthcare Practitioners and Technical Occupations RW,2215000,2080000,1550000,1467000,1376000,1243000,1274000,1288000,1290000,1253000,1424000,1002000,829000,743000,738000,843000,939000,663000,554000,569000,794000,636000,539000,450000,411000,418000,390000,387000,294000
Healthcare Support Occupations RW,268000,325000,222000,198000,229000,219000,214000,233000,192000,231000,217000,94000,107000,87000,151000,141000,125000,130000,88000,92000,157000,128000,78000,65000,66000,101000,91000,41000,59000
Protective Service Occupations RW,441000,287000,250000,268000,233000,195000,199000,274000,251000,253000,227000,175000,146000,127000,106000,108000,148000,162000,92000,89000,206000,142000,98000,101000,74000,45000,70000,71000,65000
Food Preparation and Serving Related Occupations RW,213000,242000,204000,139000,153000,143000,183000,178000,145000,129000,140000,120000,79000,47000,63000,90000,111000,62000,63000,52000,112000,93000,74000,80000,23000,44000,100000,65000,43000
Building and Grounds Cleaning and Maintenance Occupations RW,182000,182000,170000,61000,107000,85000,117000,125000,141000,126000,130000,93000,61000,63000,67000,80000,107000,55000,52000,27000,74000,72000,51000,9000,23000,34000,51000,46000,41000
Personal Care and Service Occupations RW,403000,385000,343000,277000,288000,228000,203000,234000,247000,198000,220000,126000,152000,130000,174000,120000,121000,66000,75000,68000,180000,116000,128000,96000,118000,99000,79000,88000,71000
Sales and Related Occupations RW,3802000,3436000,3056000,2766000,2372000,2427000,2283000,2627000,2490000,2537000,2332000,1774000,1683000,1341000,1171000,1338000,1385000,1213000,1090000,1154000,1709000,1416000,882000,708000,692000,601000,700000,636000,453000
Office and Administrative Support Occupations RW,5684000,5294000,4686000,4278000,3724000,3617000,3701000,3976000,3886000,3931000,3696000,3245000,2972000,2406000,2175000,2244000,2196000,2020000,2097000,1911000,2812000,2275000,1774000,1415000,1263000,1293000,1365000,1119000,959000
"Farming, Fishing, and Forestry Occupations RW",28000,13000,24000,2000,20000,2000,9000,20000,14000,22000,20000,23000,21000,25000,20000,20000,16000,18000,15000,17000,17000,9000,10000,6000,2000,3000,13000,11000,1000
Construction and Extraction Occupations RW,4372000,384000,356000,221000,198000,178000,228000,205000,216000,186000,125000,161000,111000,92000,98000,144000,182000,104000,75000,81000,137000,86000,80000,109000,48000,40000,73000,82000,61000
"Installation, Maintenance, and Repair Occupations RW",469000,319000,229000,162000,205000,181000,191000,225000,156000,200000,148000,155000,159000,138000,164000,153000,132000,106000,97000,74000,145000,183000,46000,41000,52000,63000,59000,67000,38000
Production Occupations RW,493000,446000,405000,289000,301000,253000,299000,341000,269000,325000,265000,205000,200000,123000,173000,218000,164000,147000,154000,139000,244000,178000,151000,95000,108000,163000,113000,85000,73000
Transportation and Material Moving Occupations RW,494000,329000,318000,263000,254000,295000,256000,251000,230000,175000,255000,162000,188000,119000,117000,165000,181000,128000,151000,133000,177000,162000,112000,67000,100000,125000,133000,94000,74000
Agriculture and Related Industries RW,156000,145000,127000,83000,97000,84000,98000,107000,120000,134000,94000,76000,57000,55000,52000,62000,46000,45000,58000,62000,104000,98000,51000,20000,31000,54000,50000,23000,16000
"Mining, Quarrying, and Oil and Gas Extraction RW",226000,225000,156000,141000,139000,90000,131000,101000,125000,105000,87000,59000,52000,54000,97000,77000,79000,35000,36000,51000,62000,69000,28000,26000,22000,19000,27000,45000,18000
Construction RW,1451000,1240000,1133000,877000,910000,742000,855000,871000,867000,768000,766000,617000,489000,390000,430000,496000,582000,388000,387000,353000,550000,434000,356000,300000,257000,267000,242000,277000,143000
Durable Goods Manufacturing RW,2690000,2440000,2257000,2148000,1905000,1781000,1862000,2050000,1956000,1951000,1803000,1520000,1456000,1201000,1137000,1274000,1273000,1219000,1229000,1240000,1566000,1362000,989000,679000,726000,753000,715000,669000,512000
Nondurable Goods Manufacturing RW,1531000,1292000,1092000,1036000,980000,909000,1005000,940000,944000,948000,792000,787000,662000,597000,621000,642000,697000,647000,620000,523000,800000,691000,522000,385000,356000,358000,356000,299000,237000
Wholesale Trade RW,1009000,817000,877000,833000,719000,728000,689000,794000,686000,725000,682000,580000,545000,409000,309000,367000,367000,340000,305000,358000,458000,381000,265000,221000,191000,143000,157000,132000,99000
Retail Trade RW,2338000,2038000,1736000,1490000,1458000,1477000,1515000,1517000,1502000,1439000,1571000,1229000,1111000,885000,824000,887000,905000,827000,775000,794000,1165000,969000,704000,499000,469000,586000,590000,564000,477000
Transportation and Warehousing RW,782000,638000,640000,562000,568000,611000,597000,604000,562000,496000,604000,520000,445000,353000,393000,398000,494000,383000,394000,290000,457000,399000,334000,229000,196000,243000,175000,169000,132000
Utilities RW,472000,492000,434000,357000,408000,384000,371000,456000,391000,417000,357000,408000,360000,315000,285000,289000,230000,177000,217000,229000,281000,241000,197000,130000,147000,166000,141000,94000,106000
Information RW,1438000,1381000,1293000,1308000,1109000,1052000,1057000,1201000,1220000,1218000,1159000,1099000,987000,919000,872000,804000,709000,770000,814000,712000,941000,850000,722000,553000,485000,562000,510000,470000,468000
Finance and Insurance RW,4979000,4702000,4187000,4128000,4066000,3740000,3666000,4062000,3871000,4103000,3794000,3454000,3314000,3100000,2761000,2736000,2655000,2498000,2390000,2411000,2939000,2645000,2160000,1828000,1647000,1492000,1358000,1230000,1027000
Real Estate and Rental and Leasing RW,1153000,1151000,991000,938000,771000,680000,663000,793000,880000,851000,805000,584000,488000,486000,378000,471000,503000,376000,383000,343000,542000,388000,236000,197000,210000,168000,188000,161000,113000
Professional and Technical Services RW,7882000,7609000,7314000,6874000,6172000,6043000,6034000,6762000,6466000,6396000,5947000,5524000,5312000,5039000,4668000,4678000,4323000,3990000,4058000,4021000,4970000,4511000,3475000,3020000,2882000,2409000,2603000,2462000,1969000
"Management, Administrative, and Waste Services RW",1414000,1193000,1106000,856000,879000,813000,858000,918000,953000,850000,817000,686000,572000,518000,485000,517000,582000,537000,526000,423000,674000,588000,499000,338000,322000,307000,330000,324000,297000
Educational Services RW,9818000,8502000,5377000,5291000,5458000,5258000,5372000,5940000,5847000,5445000,4665000,4064000,3321000,2589000,1941000,1781000,1857000,1546000,1335000,1397000,2598000,2040000,1284000,913000,950000,873000,872000,820000,644000
Hospitals RW,1498000,1417000,1313000,1138000,1095000,972000,995000,1110000,1000000,1057000,1032000,833000,753000,709000,649000,780000,805000,521000,550000,482000,805000,676000,588000,447000,465000,466000,404000,399000,353000
"Health Services, Except Hospitals RW",2392000,2363000,1830000,1790000,1566000,1563000,1740000,1700000,1672000,1654000,1650000,1269000,1200000,880000,942000,985000,1095000,934000,754000,870000,1065000,937000,733000,542000,513000,471000,563000,424000,356000
Social Assistance RW,1090000,1152000,967000,950000,788000,759000,821000,823000,772000,755000,661000,623000,491000,478000,499000,411000,429000,331000,333000,331000,564000,433000,393000,232000,259000,228000,221000,201000,140000
"Arts, Entertainment, and Recreation RW",780000,741000,589000,562000,511000,496000,401000,477000,470000,460000,472000,400000,374000,360000,358000,358000,355000,277000,278000,259000,395000,340000,227000,144000,178000,203000,227000,184000,160000
Accommodation and Food Services RW,539000,567000,614000,376000,428000,363000,437000,447000,359000,350000,374000,376000,276000,241000,173000,271000,297000,159000,218000,217000,324000,211000,186000,119000,106000,90000,140000,126000,126000
"Other Services, Except Private Households RW",1661000,1385000,1285000,1205000,947000,971000,1068000,1016000,1025000,1013000,973000,744000,697000,597000,586000,601000,548000,519000,507000,446000,737000,490000,426000,281000,341000,352000,411000,333000,198000
Private Households RW,55000,43000,54000,20000,24000,28000,35000,36000,18000,17000,27000,12000,18000,22000,21000,13000,14000,11000,4000,1000,2000,6000,1000,12000,10000,15000,19000,10000,13000
Public Administration RW,3349000,3112000,2824000,2835000,2502000,2409000,2467000,2777000,2778000,2738000,2419000,2179000,2187000,1808000,1788000,1664000,1504000,1522000,1363000,1545000,1940000,1640000,1426000,1077000,924000,1007000,979000,889000,672000
Private Industries Worker RW,33576000,30956000,27713000,25827000,23856000,22657000,23507000,25245000,24564000,24080000,22901000,20231000,18733000,16587000,15383000,15786000,15720000,13744000,13466000,13262000,17947000,15629000,12223000,9460000,9165000,8638000,8754000,7826000,6444000
Federal Worker RW,1906000,1796000,1687000,1758000,1625000,1568000,1380000,1565000,1551000,1453000,1382000,1258000,1258000,1142000,1156000,1143000,960000,925000,890000,1051000,1222000,1006000,889000,747000,630000,606000,594000,608000,413000
State Worker RW,4261000,3824000,2915000,2795000,2617000,2435000,2664000,2764000,2769000,2872000,2249000,2033000,1892000,1531000,1420000,1287000,1217000,1207000,1093000,1029000,1604000,1321000,988000,786000,663000,654000,654000,588000,481000
Local Worker RW,5118000,4489000,2449000,2507000,2596000,2651000,2619000,3239000,3122000,2861000,2449000,1929000,1548000,1276000,866000,779000,822000,633000,645000,765000,1361000,1021000,631000,367000,455000,482000,479000,436000,355000
"Self-employed Workers, Incorporated RW",1847000,1768000,1616000,1351000,1309000,1208000,1241000,1228000,1179000,1115000,1141000,1006000,769000,633000,627000,671000,726000,725000,686000,557000,936000,708000,508000,351000,369000,365000,414000,410000,233000
"Self-employed Workers, Unincorporated RW",1996000,1809000,1816000,1558000,1495000,1417000,1325000,1460000,1300000,1489000,1418000,1167000,963000,835000,814000,892000,903000,807000,745000,692000,852000,709000,563000,475000,404000,486000,379000,437000,350000
